"House Price Index by region; existing own homes; 2010 = 100"
"";"Subjects";"Price index purchase prices";"Price index purchase prices";"Price index purchase prices";"Number of sold dwellings";"Number of sold dwellings";"Number of sold dwellings"
"";"Subjects";"Price index of existing own homes";"Changes compared to one period earlier";"Changes compared to one year earlier";"Number of dwellings sold";"Changes compared to one period earlier";"Changes compared to one year earlier"
"Regions";"Periods";"2010 = 100";"%";"%";"number";"%";"%"
"Friesland (PV)";"2016 4th quarter";"88.6";"0.4";"4.6";"2145";"0.5";"14.5"
"Friesland (PV)";"2016";"87.0";"3.9";"3.9";"7590";"20.9";"20.9"
"Friesland (PV)";"2017 1st quarter";"89.6";"1.1";"4.8";"1923";"-10.4";"31.4"
"Drenthe (PV)";"2010";"100.0";"-2.1";"-2.1";"3663";"-2.1";"-2.1"
"Drenthe (PV)";"2011 1st quarter";"98.1";"-0.6";"-2.2";"807";"-19.9";"10.2"
"Drenthe (PV)";"2011 2nd quarter";"97.9";"-0.1";"-2.7";"829";"2.7";"-15.1"
"Drenthe (PV)";"2011 3rd quarter";"96.9";"-1.1";"-3.6";"855";"3.1";"-9.7"
"Drenthe (PV)";"2011 4th quarter";"96.3";"-0.5";"-2.3";"955";"11.7";"-5.2"
"Drenthe (PV)";"2011";"97.3";"-2.7";"-2.7";"3446";"-5.9";"-5.9"
"Drenthe (PV)";"2012 1st quarter";"95.9";"-0.5";"-2.2";"700";"-26.7";"-13.3"
"Drenthe (PV)";"2012 2nd quarter";"91.9";"-4.2";"-6.2";"966";"38.0";"16.5"
"Drenthe (PV)";"2012 3rd quarter";"90.3";"-1.7";"-6.8";"685";"-29.1";"-19.9"
"Drenthe (PV)";"2012 4th quarter";"88.9";"-1.6";"-7.8";"1034";"50.9";"8.3"
"Drenthe (PV)";"2012";"91.7";"-5.7";"-5.7";"3385";"-1.8";"-1.8"
"Drenthe (PV)";"2013 1st quarter";"85.9";"-3.3";"-10.4";"624";"-39.7";"-10.9"
"Drenthe (PV)";"2013 2nd quarter";"85.0";"-1.1";"-7.5";"688";"10.3";"-28.8"
"Drenthe (PV)";"2013 3rd quarter";"84.0";"-1.1";"-6.9";"936";"36.0";"36.6"
"Drenthe (PV)";"2013 4th quarter";"85.0";"1.1";"-4.3";"1016";"8.5";"-1.7"
"Drenthe (PV)";"2013";"85.0";"-7.3";"-7.3";"3264";"-3.6";"-3.6"
"Drenthe (PV)";"2014 1st quarter";"85.0";"0.0";"-1.0";"783";"-22.9";"25.5"
"Drenthe (PV)";"2014 2nd quarter";"84.4";"-0.7";"-0.7";"942";"20.3";"36.9"
"Drenthe (PV)";"2014 3rd quarter";"85.5";"1.2";"1.7";"1105";"17.3";"18.1"
"Drenthe (PV)";"2014 4th quarter";"84.3";"-1.4";"-0.9";"1378";"24.7";"35.6"
"Drenthe (PV)";"2014";"84.8";"-0.2";"-0.2";"4208";"28.9";"28.9"
"Drenthe (PV)";"2015 1st quarter";"85.9";"2.0";"1.1";"976";"-29.2";"24.6"
"Drenthe (PV)";"2015 2nd quarter";"85.4";"-0.6";"1.2";"1160";"18.9";"23.1"
"Drenthe (PV)";"2015 3rd quarter";"86.5";"1.2";"1.2";"1364";"17.6";"23.4"
"Drenthe (PV)";"2015 4th quarter";"86.6";"0.1";"2.8";"1511";"10.8";"9.7"
"Drenthe (PV)";"2015";"86.1";"1.6";"1.6";"5011";"19.1";"19.1"
"Drenthe (PV)";"2016 1st quarter";"86.2";"-0.5";"0.3";"1165";"-22.9";"19.4"
"Drenthe (PV)";"2016 2nd quarter";"87.3";"1.3";"2.2";"1493";"28.2";"28.7"
"Drenthe (PV)";"2016 3rd quarter";"88.8";"1.7";"2.6";"1680";"12.5";"23.2"
"Drenthe (PV)";"2016 4th quarter";"89.5";"0.8";"3.3";"1784";"6.2";"18.1"
"Drenthe (PV)";"2016";"87.9";"2.1";"2.1";"6122";"22.2";"22.2"
"Drenthe (PV)";"2017 1st quarter";"90.4";"1.0";"4.9";"1586";"-11.1";"36.1"
"Overijssel (PV)";"2010";"100.0";"-1.9";"-1.9";"7820";"-0.4";"-0.4"
"Overijssel (PV)";"2011 1st quarter";"97.6";"-1.8";"-2.1";"1735";"-18.8";"6.3"
"Overijssel (PV)";"2011 2nd quarter";"97.9";"0.3";"-2.7";"1810";"4.3";"-10.3"
"Overijssel (PV)";"2011 3rd quarter";"97.5";"-0.4";"-2.8";"1951";"7.8";"-4.0"
"Overijssel (PV)";"2011 4th quarter";"95.4";"-2.1";"-4.0";"2046";"4.9";"-4.3"
"Overijssel (PV)";"2011";"97.1";"-2.9";"-2.9";"7542";"-3.6";"-3.6"
"Overijssel (PV)";"2012 1st quarter";"95.6";"0.2";"-2.0";"1587";"-22.4";"-8.5"
"Overijssel (PV)";"2012 2nd quarter";"93.6";"-2.1";"-4.3";"2301";"45.0";"27.1"
"Overijssel (PV)";"2012 3rd quarter";"89.5";"-4.4";"-8.2";"1581";"-31.3";"-19.0"
"Overijssel (PV)";"2012 4th quarter";"89.8";"0.3";"-5.9";"2374";"50.2";"16.0"
"Overijssel (PV)";"2012";"92.1";"-5.1";"-5.1";"7843";"4.0";"4.0"
"Overijssel (PV)";"2013 1st quarter";"87.7";"-2.3";"-8.3";"1477";"-37.8";"-6.9"
"Overijssel (PV)";"2013 2nd quarter";"85.2";"-2.9";"-9.0";"1338";"-9.4";"-41.9"
"Overijssel (PV)";"2013 3rd quarter";"86.4";"1.5";"-3.5";"1759";"31.5";"11.3"
"Overijssel (PV)";"2013 4th quarter";"85.7";"-0.8";"-4.5";"2266";"28.8";"-4.5"
"Overijssel (PV)";"2013";"86.3";"-6.4";"-6.4";"6840";"-12.8";"-12.8"
"Overijssel (PV)";"2014 1st quarter";"86.8";"1.3";"-1.0";"1801";"-20.5";"21.9"
"Overijssel (PV)";"2014 2nd quarter";"86.7";"-0.1";"1.8";"2096";"16.4";"56.7"
"Overijssel (PV)";"2014 3rd quarter";"87.0";"0.3";"0.7";"2158";"3.0";"22.7"
"Overijssel (PV)";"2014 4th quarter";"86.6";"-0.5";"1.0";"3116";"44.4";"37.5"
"Overijssel (PV)";"2014";"86.8";"0.6";"0.6";"9171";"34.1";"34.1"
"Overijssel (PV)";"2015 1st quarter";"87.0";"0.5";"0.2";"2065";"-33.7";"14.7"
"Overijssel (PV)";"2015 2nd quarter";"87.3";"0.4";"0.7";"2354";"14.0";"12.3"
"Overijssel (PV)";"2015 3rd quarter";"87.6";"0.3";"0.7";"2913";"23.7";"35.0"
"Overijssel (PV)";"2015 4th quarter";"88.2";"0.7";"1.8";"3130";"7.4";"0.4"
"Overijssel (PV)";"2015";"87.5";"0.9";"0.9";"10462";"14.1";"14.1"
"Overijssel (PV)";"2016 1st quarter";"89.9";"1.9";"3.3";"2510";"-19.8";"21.6"
"Overijssel (PV)";"2016 2nd quarter";"90.1";"0.3";"3.2";"3041";"21.2";"29.2"
"Overijssel (PV)";"2016 3rd quarter";"91.5";"1.6";"4.5";"3783";"24.4";"29.9"
"Overijssel (PV)";"2016 4th quarter";"92.1";"0.6";"4.4";"3763";"-0.5";"20.2"
"Overijssel (PV)";"2016";"90.9";"3.9";"3.9";"13097";"25.2";"25.2"
"Overijssel (PV)";"2017 1st quarter";"93.5";"1.6";"4.1";"3613";"-4.0";"43.9"
"Flevoland (PV)";"2010";"100.0";"-2.7";"-2.7";"2699";"-11.7";"-11.7"
"Flevoland (PV)";"2011 1st quarter";"98.1";"0.4";"-2.1";"607";"-12.4";"-4.0"
"Flevoland (PV)";"2011 2nd quarter";"97.8";"-0.4";"-2.8";"614";"1.2";"-13.2"
"Flevoland (PV)";"2011 3rd quarter";"96.1";"-1.7";"-5.2";"616";"0.3";"-7.6"
"Flevoland (PV)";"2011 4th quarter";"97.2";"1.1";"-0.6";"739";"20.0";"6.6"
"Flevoland (PV)";"2011";"97.3";"-2.7";"-2.7";"2576";"-4.6";"-4.6"
"Flevoland (PV)";"2012 1st quarter";"94.9";"-2.3";"-3.3";"495";"-33.0";"-18.5"
"Flevoland (PV)";"2012 2nd quarter";"93.0";"-2.0";"-4.9";"749";"51.3";"22.0"
"Flevoland (PV)";"2012 3rd quarter";"90.6";"-2.6";"-5.7";"548";"-26.8";"-11.0"
"Flevoland (PV)";"2012 4th quarter";"90.1";"-0.6";"-7.3";"772";"40.9";"4.5"
"Flevoland (PV)";"2012";"92.2";"-5.3";"-5.3";"2564";"-0.5";"-0.5"
"Flevoland (PV)";"2013 1st quarter";"88.7";"-1.6";"-6.6";"574";"-25.6";"16.0"
"Flevoland (PV)";"2013 2nd quarter";"86.9";"-1.9";"-6.5";"485";"-15.5";"-35.2"
"Flevoland (PV)";"2013 3rd quarter";"87.2";"0.3";"-3.8";"655";"35.1";"19.5"
"Flevoland (PV)";"2013 4th quarter";"87.2";"0.0";"-3.2";"794";"21.2";"2.9"
"Flevoland (PV)";"2013";"87.5";"-5.1";"-5.1";"2508";"-2.2";"-2.2"
"Flevoland (PV)";"2014 1st quarter";"87.7";"0.6";"-1.1";"667";"-16.0";"16.2"
"Flevoland (PV)";"2014 2nd quarter";"87.9";"0.2";"1.1";"751";"12.6";"54.8"
"Flevoland (PV)";"2014 3rd quarter";"87.9";"0.1";"0.8";"843";"12.3";"28.7"
"Flevoland (PV)";"2014 4th quarter";"89.6";"1.9";"2.8";"1106";"31.2";"39.3"
"Flevoland (PV)";"2014";"88.3";"0.9";"0.9";"3367";"34.3";"34.3"
"Flevoland (PV)";"2015 1st quarter";"88.1";"-1.7";"0.4";"833";"-24.7";"24.9"
"Flevoland (PV)";"2015 2nd quarter";"89.0";"1.1";"1.3";"837";"0.5";"11.5"
